date,open,high,low,close,volume,rs_nikkei,rs_topix
2024/03/28,2875.0,3225.0,2775.0,2957.0,6611800,-1.0,-1.0
2024/03/29,3010.0,3160.0,2743.0,2761.0,2879700,-1.0,-1.0
2024/04/01,2970.0,3265.0,2850.0,2946.0,2568600,-1.0,-1.0
2024/04/02,3050.0,3300.0,2960.0,3240.0,1592700,-1.0,-1.0
2024/04/03,3030.0,3105.0,2778.0,2838.0,1122400,-1.0,-1.0
2024/04/04,3180.0,3340.0,3000.0,3340.0,2289500,-1.0,-1.0
2024/04/05,3230.0,3850.0,3200.0,3690.0,3572800,-1.0,-1.0
2024/04/08,3820.0,3930.0,3535.0,3615.0,1778300,-1.0,-1.0
2024/04/09,3545.0,3700.0,3380.0,3600.0,897400,-1.0,-1.0
2024/04/10,3555.0,3775.0,3470.0,3525.0,1053500,-1.0,-1.0
2024/04/11,3550.0,3595.0,3300.0,3340.0,546200,-1.0,-1.0
2024/04/12,3385.0,3525.0,3205.0,3410.0,562600,-1.0,-1.0
2024/04/15,3325.0,3615.0,3185.0,3185.0,872800,-1.0,-1.0
2024/04/16,3115.0,3160.0,3000.0,3090.0,364700,-1.0,-1.0
2024/04/17,3100.0,3215.0,2880.0,3020.0,417300,-1.0,-1.0
