date,open,high,low,close,volume,rs_nikkei,rs_topix,rs
2023/07/13,1014.0,1015.0,990.0,995.0,25558,-1.0,-1.0,-1.0
2023/07/14,1010.0,1010.0,984.0,990.0,20436,-1.0,-1.0,-1.0
2023/07/18,1005.0,1005.0,958.0,973.0,7923,-1.0,-1.0,-1.0
2023/07/19,976.0,976.0,957.0,957.0,4375,-1.0,-1.0,-1.0
2023/07/20,968.0,976.0,965.0,973.0,527,-1.0,-1.0,-1.0
2023/07/21,969.0,973.0,960.0,962.0,745,-1.0,-1.0,-1.0
2023/07/24,983.0,983.0,952.0,952.0,3189,-1.0,-1.0,-1.0
2023/07/25,964.0,984.0,964.0,981.0,45158,-1.0,-1.0,-1.0
2023/07/26,996.0,996.0,975.0,977.0,13130,-1.0,-1.0,-1.0
2023/07/27,985.0,986.0,978.0,978.0,12543,-1.0,-1.0,-1.0
2023/07/28,955.0,985.0,955.0,970.0,46591,-1.0,-1.0,-1.0
2023/07/31,985.0,1023.0,985.0,1014.0,21684,-1.0,-1.0,-1.0
2023/08/01,1039.0,1039.0,1005.0,1005.0,13417,-1.0,-1.0,-1.0
2023/08/02,1007.0,1015.0,1003.0,1004.0,9329,-1.0,-1.0,-1.0
2023/08/03,1017.0,1017.0,1006.0,1012.0,945,-1.0,-1.0,-1.0
2023/08/04,1015.0,1021.0,1012.0,1021.0,206,-1.0,-1.0,-1.0
2023/08/07,1018.0,1018.0,1008.0,1008.0,2152,-1.0,-1.0,-1.0
2023/08/08,1012.0,1012.0,1006.0,1011.0,439,-1.0,-1.0,-1.0
2023/08/09,1007.0,1009.0,1007.0,1007.0,248,-1.0,-1.0,-1.0
2023/08/10,1013.0,1016.0,1002.0,1016.0,598,-1.0,-1.0,-1.0
2023/08/14,986.0,986.0,962.0,966.0,16109,-1.0,-1.0,1.0209067592057972
2023/08/15,971.0,972.0,955.0,963.0,17004,-1.0,-1.0,1.0134938803785531
2023/08/16,951.0,967.0,950.0,952.0,854,-1.0,-1.0,1.016356095753592
2023/08/17,950.0,964.0,938.0,954.0,3884,-1.0,-1.0,1.0215127806238429
2023/08/18,949.0,954.0,946.0,950.0,5027,-1.0,-1.0,1.0630465236672737
2023/08/21,932.0,937.0,927.0,927.0,5656,-1.0,-1.0,1.072107832650975
2023/08/22,935.0,937.0,910.0,910.0,26056,-1.0,-1.0,1.0277340890765274
2023/08/23,915.0,920.0,910.0,910.0,1866,-1.0,-1.0,1.0224659407091432
2023/08/24,903.0,912.0,897.0,912.0,3320,-1.0,-1.0,0.9719593373523345
2023/08/25,909.0,910.0,899.0,900.0,1281,-1.0,-1.0,0.9717610710178124
2023/08/28,911.0,949.0,909.0,909.0,93353,-1.0,-1.0,0.9427534175205254
2023/08/29,909.0,940.0,904.0,939.0,6439,-1.0,-1.0,1.0086347015419503
2023/08/30,939.0,940.0,931.0,931.0,24321,-1.0,-1.0,1.0000631203048094
2023/08/31,936.0,937.0,921.0,921.0,358,-1.0,-1.0,1.004551259692877
2023/09/01,928.0,934.0,922.0,925.0,1501,-1.0,-1.0,0.9835763553929343
2023/09/04,937.0,940.0,924.0,939.0,8570,-1.0,-1.0,0.9729414316301043
2023/09/05,939.0,940.0,934.0,939.0,378,-1.0,-1.0,0.9710736109039843
2023/09/06,939.0,939.0,928.0,930.0,2970,-1.0,-1.0,0.9589238268698166
2023/09/07,930.0,930.0,912.0,912.0,1636,-1.0,-1.0,0.9479981593427664
2023/09/08,905.0,905.0,892.0,899.0,5926,-1.0,-1.0,0.9482064499769816
2023/09/11,895.0,900.0,887.0,900.0,5008,-1.0,-1.0,0.9678314245857312
2023/09/12,911.0,917.0,902.0,913.0,15401,-1.0,-1.0,0.9682040687964663
2023/09/13,919.0,919.0,902.0,902.0,365,-1.0,-1.0,0.9578015689681967
2023/09/14,900.0,903.0,890.0,890.0,65679,-1.0,-1.0,0.9509961141591737
2023/09/15,894.0,897.0,882.0,882.0,6132,-1.0,-1.0,0.9327725428072877
2023/09/19,893.0,895.0,882.0,887.0,23945,-1.0,-1.0,0.932510046160638
2023/09/20,886.0,886.0,875.0,876.0,1768,-1.0,-1.0,0.9396326142586086
2023/09/21,877.0,878.0,868.0,869.0,24741,-1.0,-1.0,0.9769955320183478
2023/09/22,864.0,881.0,862.0,875.0,43796,-1.0,-1.0,0.9919536361012607
2023/09/25,886.0,891.0,880.0,884.0,66527,-1.0,-1.0,0.9921206043035142
2023/09/26,884.0,884.0,872.0,873.0,59940,-1.0,-1.0,0.9919619162586314
2023/09/27,875.0,886.0,870.0,876.0,138504,-1.0,-1.0,0.9923249360645051
